
2024/09/25 (11:31:27) | ===> btop++ v.1.4.0
2024/09/25 (11:31:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (09:40:17) | ===> btop++ v.1.4.0
2024/09/26 (09:40:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (09:37:43) | ===> btop++ v.1.4.0
2024/10/01 (09:37:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (09:39:30) | ===> btop++ v.1.4.0
2024/10/01 (09:39:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (09:24:03) | ===> btop++ v.1.4.0
2024/10/02 (09:24:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (09:38:30) | ===> btop++ v.1.4.0
2024/10/02 (09:38:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (09:46:37) | ===> btop++ v.1.4.0
2024/10/02 (09:46:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (09:55:42) | ===> btop++ v.1.4.0
2024/10/02 (09:55:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (10:46:55) | ===> btop++ v.1.4.0
2024/10/02 (10:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:19:51) | ===> btop++ v.1.4.0
2024/10/03 (09:19:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:21:47) | ===> btop++ v.1.4.0
2024/10/03 (09:21:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:25:07) | ===> btop++ v.1.4.0
2024/10/03 (09:25:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:31:10) | ===> btop++ v.1.4.0
2024/10/03 (09:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (17:18:23) | ===> btop++ v.1.4.0
2024/10/03 (17:18:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (17:27:19) | ===> btop++ v.1.4.0
2024/10/03 (17:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (09:07:29) | ===> btop++ v.1.4.0
2024/10/04 (09:07:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (09:50:17) | ===> btop++ v.1.4.0
